Year,Gold
1896,11
1900,21
1904,76
1906,12
1908,22
1912,26
1920,41
1924,45
1928,22
1932,44
1936,24
1948,38
1952,40
1956,32
1960,34
1964,36
1968,45
1972,33
1976,34
1984,82
1988,36
1992,37
1996,44
2000,36
2004,36
2008,36
2012,46
2016,46
2020,0
